Tenor,spread_20y_30y,fly_3m_6m_9m,fly_6m_9m_1y,fly_5y_7y_10y,fly_10y_15y_20y
2024-09-05,-5.000000000000071,-0.4999999999999005,-10.50000000000004,5.799999999999983,-10.69999999999993
2024-09-06,-4.999999999999893,-1.500000000000057,-9.499999999999886,6.449999999999889,-10.24999999999991
2024-09-09,-8.550000000000146,-1.000000000000156,-9.999999999999787,5.100000000000193,-9.54999999999977
2024-09-10,-3.350000000000009,-0.5000000000002558,-10.50000000000004,7.499999999999929,-9.550000000000125
2024-09-11,-5.000000000000071,-1.000000000000156,-14.99999999999986,6.499999999999773,-10.99999999999994
2024-09-12,-5.000000000000071,-1.000000000000156,-15.74999999999989,8.49999999999973,-9.499999999999886
2024-09-13,-4.800000000000004,-0.4999999999999005,-6.500000000000128,5.000000000000071,-10.20000000000003
2024-09-17,-3.850000000000087,5.999999999999872,-8.249999999999957,4.749999999999943,-9.799999999999898
2024-09-18,-3.800000000000026,1.000000000000156,-15.50000000000011,4.949999999999832,-11.14999999999995
2024-09-19,-3.800000000000026,-1.500000000000057,-5.499999999999972,6.499999999999773,-11.14999999999995
2024-09-20,-3.350000000000009,3.000000000000114,-9.000000000000341,-2.029999999999887,-11.68000000000013
2024-09-23,-4.300000000000104,4.499999999999815,-8.49999999999973,6.550000000000367,-11.89999999999998
2024-09-24,-3.300000000000125,11.49999999999984,-11.49999999999984,6.649999999999778,-13.74999999999993
2024-09-25,-4.499999999999993,9.499999999999886,-10.99999999999994,7.249999999999801,-13.20000000000014
2024-09-26,-5.000000000000071,7.000000000000028,-14.00000000000006,6.499999999999773,-12.30000000000011
2024-09-27,-4.499999999999993,3.999999999999915,-11.25000000000007,1.800000000000068,-15.50000000000011
2024-09-30,-4.499999999999993,9.000000000000341,-14.50000000000031,5.400000000000205,-15.24999999999999
2024-10-01,-6.500000000000128,11.49999999999984,-14.49999999999996,3.000000000000114,-11.99999999999974
2024-10-02,-3.000000000000114,9.000000000000341,-12.0000000000001,5.499999999999972,-14.49999999999996
2024-10-03,-4.849999999999888,6.500000000000128,-16.75000000000004,5.150000000000077,-15.64999999999976
2024-10-04,-6.500000000000128,10.00000000000014,-9.299999999999997,6.000000000000227,-12.0000000000001
2024-10-07,-6.500000000000128,10.00000000000014,-2.250000000000085,7.000000000000028,-5.999999999999872
2024-10-08,-4.899999999999949,6.500000000000128,-11.74999999999997,6.850000000000023,-12.39999999999988
2024-10-09,-7.580000000000098,6.749999999999901,-12.5,5.900000000000105,-12.36999999999995
2024-10-10,-6.49999999999995,6.000000000000227,-1.300000000000168,5.699999999999861,-14.30000000000042
